Estacao;Data;Hora;Velocidade do Vento Media;
83339;15/09/1994;0000;0;
83339;24/08/1996;0000;7.6;
83339;25/08/1996;0000;4.233333;
83339;26/08/1996;0000;3.633333;
83339;27/08/1996;0000;2.766667;
83339;28/08/1996;0000;3;
83339;29/08/1996;0000;7.766667;
83339;30/08/1996;0000;7.233333;
83339;31/08/1996;0000;6.9;
83339;01/09/1996;0000;3.366667;
83339;02/09/1996;0000;2.566667;
83339;03/09/1996;0000;4.266667;
83339;04/09/1996;0000;3.166667;
83339;05/09/1996;0000;5.033333;
83339;06/09/1996;0000;4.5;
83339;07/09/1996;0000;7.766667;
83339;08/09/1996;0000;4.633333;
83339;09/09/1996;0000;5.233333;
83339;10/09/1996;0000;6.566667;
83339;11/09/1996;0000;5.4;
83339;12/09/1996;0000;6.833333;
83339;13/09/1996;0000;8.166667;
83339;14/09/1996;0000;5.5;
83339;15/09/1996;0000;9.166667;
83339;16/09/1996;0000;5.866667;
83339;17/09/1996;0000;3.8;
83339;18/09/1996;0000;5.5;
83339;19/09/1996;0000;6.866667;
83339;20/09/1996;0000;8.133333;
83339;21/09/1996;0000;6.133333;
83339;22/09/1996;0000;5.666667;
83339;23/09/1996;0000;3.433333;
83339;24/09/1996;0000;5.8;
83339;25/09/1996;0000;5;
83339;26/09/1996;0000;4.966667;
83339;27/09/1996;0000;7.733333;
83339;28/09/1996;0000;6.033333;
83339;29/09/1996;0000;5.533333;
83339;30/09/1996;0000;4.866667;
83339;01/10/1996;0000;4.3;
83339;02/10/1996;0000;5.9;
83339;03/10/1996;0000;3;
83339;04/10/1996;0000;2.566667;
83339;05/10/1996;0000;1.666667;
83339;06/10/1996;0000;4.5;
83339;07/10/1996;0000;5.3;
83339;08/10/1996;0000;5.866667;
83339;09/10/1996;0000;6.633333;
83339;10/10/1996;0000;6.266667;
83339;11/10/1996;0000;3.266667;
83339;12/10/1996;0000;4.966667;
83339;13/10/1996;0000;4.466667;
83339;14/10/1996;0000;2.633333;
83339;15/10/1996;0000;1.233333;
83339;16/10/1996;0000;4.9;
83339;17/10/1996;0000;5.466667;
83339;18/10/1996;0000;4.233333;
83339;19/10/1996;0000;7.166667;
83339;20/10/1996;0000;4.366667;
83339;21/10/1996;0000;5.166667;
83339;22/10/1996;0000;6.366667;
83339;23/10/1996;0000;5.2;
83339;24/10/1996;0000;3.2;
83339;25/10/1996;0000;5.7;
83339;26/10/1996;0000;4.866667;
83339;27/10/1996;0000;3.4;
83339;28/10/1996;0000;1.066667;
83339;29/10/1996;0000;1.2;
83339;30/10/1996;0000;6.966667;
83339;31/10/1996;0000;2.733333;
83339;01/11/1996;0000;4.433333;
83339;02/11/1996;0000;1.933333;
83339;03/11/1996;0000;1.433333;
83339;04/11/1996;0000;2.733333;
83339;05/11/1996;0000;5.2;
83339;06/11/1996;0000;6.933333;
83339;07/11/1996;0000;6.166667;
83339;08/11/1996;0000;7.766667;
83339;09/11/1996;0000;7.433333;
83339;10/11/1996;0000;3.3;
83339;11/11/1996;0000;2.9;
83339;12/11/1996;0000;5.5;
83339;13/11/1996;0000;5.233333;
83339;14/11/1996;0000;4.8;
83339;15/11/1996;0000;3.233333;
83339;16/11/1996;0000;3.966667;
83339;17/11/1996;0000;1.233333;
83339;18/11/1996;0000;1.8;
83339;19/11/1996;0000;1.066667;
83339;20/11/1996;0000;2.2;
83339;21/11/1996;0000;1.833333;
83339;22/11/1996;0000;4.433333;
83339;23/11/1996;0000;2.633333;
83339;24/11/1996;0000;4.133333;
83339;25/11/1996;0000;2.733333;
83339;26/11/1996;0000;3.8;
83339;27/11/1996;0000;7.1;
83339;28/11/1996;0000;5.6;
83339;29/11/1996;0000;6.466667;
83339;30/11/1996;0000;4.933333;
83339;01/12/1996;0000;4.6;
83339;02/12/1996;0000;4.366667;
83339;03/12/1996;0000;6.7;
83339;04/12/1996;0000;4.133333;
83339;05/12/1996;0000;3.3;
83339;06/12/1996;0000;3;
83339;07/12/1996;0000;3.066667;
83339;08/12/1996;0000;1.8;
83339;09/12/1996;0000;0.8;
83339;10/12/1996;0000;3.566667;
83339;11/12/1996;0000;1.2;
83339;12/12/1996;0000;2.233333;
83339;13/12/1996;0000;1.966667;
83339;14/12/1996;0000;2.333333;
83339;15/12/1996;0000;6.433333;
83339;16/12/1996;0000;5.833333;
83339;17/12/1996;0000;3.866667;
83339;18/12/1996;0000;2.733333;
83339;19/12/1996;0000;3.033333;
83339;20/12/1996;0000;2.6;
83339;21/12/1996;0000;1.733333;
83339;22/12/1996;0000;1.633333;
83339;23/12/1996;0000;1.633333;
83339;24/12/1996;0000;1.866667;
83339;25/12/1996;0000;2.766667;
83339;26/12/1996;0000;1.133333;
83339;27/12/1996;0000;1.433333;
83339;28/12/1996;0000;0.866667;
83339;29/12/1996;0000;0.533333;
83339;30/12/1996;0000;0.533333;
83339;31/12/1996;0000;1.233333;
83339;01/01/1997;0000;1.7;
83339;02/01/1997;0000;2.533333;
83339;03/01/1997;0000;0.8;
83339;04/01/1997;0000;1.633333;
83339;05/01/1997;0000;0.766667;
83339;06/01/1997;0000;2.1;
83339;07/01/1997;0000;6.8;
83339;08/01/1997;0000;4.566667;
83339;09/01/1997;0000;3.333333;
83339;10/01/1997;0000;2.033333;
83339;11/01/1997;0000;2.033333;
83339;12/01/1997;0000;3.2;
83339;13/01/1997;0000;3.033333;
83339;14/01/1997;0000;2.1;
83339;15/01/1997;0000;3.4;
83339;16/01/1997;0000;2.4;
83339;17/01/1997;0000;2.366667;
83339;18/01/1997;0000;1.366667;
83339;19/01/1997;0000;1.1;
