Estacao;Data;Hora;DirecaoVento;VelocidadeVento
82678;01/01/2018;0000;23;1.6;
82678;01/01/2018;1200;36;0.5;
82678;01/01/2018;1800;27;0.8;
82678;02/01/2018;0000;23;0.8;
82678;02/01/2018;1200;32;3;
82678;02/01/2018;1800;18;1;
82678;03/01/2018;0000;23;2;
82678;03/01/2018;1200;27;1.6;
82678;03/01/2018;1800;23;1.1;
82678;04/01/2018;0000;27;1;
82678;04/01/2018;1200;0;0;
82678;04/01/2018;1800;0;0;
82678;05/01/2018;0000;0;0;
82678;05/01/2018;1200;0;0;
82678;05/01/2018;1800;0;0;
82678;06/01/2018;0000;23;0.8;
82678;06/01/2018;1200;0;0;
82678;06/01/2018;1800;0;0;
82678;07/01/2018;0000;36;1;
82678;07/01/2018;1200;5;1.5;
82678;07/01/2018;1800;18;1;
82678;08/01/2018;0000;23;0.5;
82678;08/01/2018;1200;14;0.5;
82678;08/01/2018;1800;23;1.5;
82678;09/01/2018;0000;23;0.8;
82678;09/01/2018;1200;0;0;
82678;09/01/2018;1800;0;0;
82678;10/01/2018;0000;0;0;
82678;10/01/2018;1200;0;0;
82678;10/01/2018;1800;0;0;
82678;11/01/2018;0000;0;0;
82678;11/01/2018;1200;23;1.3;
82678;11/01/2018;1800;23;0.3;
82678;12/01/2018;0000;0;0;
82678;12/01/2018;1200;5;0.7;
82678;12/01/2018;1800;9;0.3;
82678;13/01/2018;0000;5;0.5;
82678;13/01/2018;1200;0;0;
82678;13/01/2018;1800;32;0.8;
82678;14/01/2018;0000;27;1;
82678;14/01/2018;1200;18;1.3;
82678;14/01/2018;1800;14;1.6;
82678;15/01/2018;0000;0;0;
82678;15/01/2018;1200;23;1.5;
82678;15/01/2018;1800;14;3.3;
82678;16/01/2018;0000;0;0;
82678;16/01/2018;1200;18;1.6;
82678;16/01/2018;1800;9;2;
82678;17/01/2018;0000;0;0;
82678;17/01/2018;1200;14;1.6;
82678;17/01/2018;1800;5;1.3;
82678;18/01/2018;0000;0;0;
82678;18/01/2018;1200;9;1.6;
82678;18/01/2018;1800;9;2;
82678;19/01/2018;0000;0;0;
82678;19/01/2018;1200;14;0.3;
82678;19/01/2018;1800;14;3;
82678;20/01/2018;0000;32;0.3;
82678;20/01/2018;1200;5;0.3;
82678;20/01/2018;1800;5;1;
82678;21/01/2018;0000;14;1;
82678;21/01/2018;1200;9;0.5;
82678;21/01/2018;1800;9;0.8;
82678;22/01/2018;0000;9;1.8;
82678;22/01/2018;1200;14;0.3;
82678;22/01/2018;1800;5;0.7;
82678;23/01/2018;0000;36;1.3;
82678;23/01/2018;1200;9;0.5;
82678;23/01/2018;1800;18;0.8;
82678;24/01/2018;0000;9;1.6;
82678;24/01/2018;1200;0;0;
82678;24/01/2018;1800;5;1.6;
82678;25/01/2018;0000;5;1.6;
82678;25/01/2018;1200;9;0.7;
82678;25/01/2018;1800;32;1;
82678;26/01/2018;0000;9;1;
82678;26/01/2018;1200;9;0.8;
82678;26/01/2018;1800;0;0;
82678;27/01/2018;0000;0;0;
82678;27/01/2018;1200;14;0.7;
82678;27/01/2018;1800;5;2;
82678;28/01/2018;0000;9;2;
82678;28/01/2018;1200;5;1.5;
82678;28/01/2018;1800;5;1.6;
82678;29/01/2018;0000;9;3;
82678;29/01/2018;1200;0;0;
82678;29/01/2018;1800;9;0.8;
82678;30/01/2018;0000;9;1;
82678;30/01/2018;1200;0;0;
82678;30/01/2018;1800;0;0;
82678;31/01/2018;0000;0;0;
82678;31/01/2018;1200;5;0.7;
82678;31/01/2018;1800;36;2;
82678;01/02/2018;0000;0;0;
82678;01/02/2018;1200;0;0;
82678;01/02/2018;1800;32;1.5;
82678;02/02/2018;0000;9;1.1;
82678;02/02/2018;1200;36;0.7;
82678;02/02/2018;1800;5;1;
82678;03/02/2018;0000;27;1.6;
82678;03/02/2018;1200;0;0;
82678;03/02/2018;1800;36;1;
82678;04/02/2018;0000;0;0;
82678;04/02/2018;1200;0;0;
82678;04/02/2018;1800;36;0.5;
82678;05/02/2018;0000;32;0.5;
82678;05/02/2018;1200;32;1.1;
82678;05/02/2018;1800;32;0.8;
82678;06/02/2018;0000;23;0.5;
82678;06/02/2018;1200;0;0;
82678;06/02/2018;1800;36;0.5;
82678;07/02/2018;0000;18;0.5;
82678;07/02/2018;1200;0;0;
82678;07/02/2018;1800;0;0;
82678;08/02/2018;0000;0;0;
82678;08/02/2018;1200;36;0.3;
82678;08/02/2018;1800;5;0.7;
82678;09/02/2018;0000;0;0;
82678;09/02/2018;1200;5;0.8;
82678;09/02/2018;1800;5;0.8;
82678;10/02/2018;0000;14;0.3;
82678;10/02/2018;1200;32;1.3;
82678;10/02/2018;1800;5;2.8;
82678;11/02/2018;0000;23;1;
82678;11/02/2018;1200;0;0;
82678;11/02/2018;1800;27;1;
82678;12/02/2018;0000;0;0;
82678;12/02/2018;1200;27;1.6;
82678;12/02/2018;1800;18;0.5;
82678;13/02/2018;0000;9;0.3;
82678;13/02/2018;1200;14;0.3;
82678;13/02/2018;1800;36;1;
82678;14/02/2018;0000;9;1;
82678;14/02/2018;1200;0;0;
82678;14/02/2018;1800;9;3.3;
82678;15/02/2018;0000;0;0;
82678;15/02/2018;1200;0;0;
82678;15/02/2018;1800;18;0.8;
82678;16/02/2018;0000;0;0;
82678;16/02/2018;1200;14;1;
82678;16/02/2018;1800;14;2.5;
82678;17/02/2018;0000;9;0.5;
82678;17/02/2018;1200;5;0.8;
82678;17/02/2018;1800;0;0;
82678;18/02/2018;0000;0;0;
82678;18/02/2018;1200;18;0.3;
82678;18/02/2018;1800;32;0.5;
82678;19/02/2018;0000;9;0.5;
82678;19/02/2018;1200;5;1.5;
82678;19/02/2018;1800;18;1.3;
82678;20/02/2018;0000;9;0.7;
82678;20/02/2018;1200;0;0;
82678;20/02/2018;1800;0;0;
82678;21/02/2018;0000;18;0.5;
82678;21/02/2018;1200;0;0;
82678;21/02/2018;1800;9;0.5;
82678;22/02/2018;0000;9;0.5;
82678;22/02/2018;1200;0;0;
82678;22/02/2018;1800;36;1.6;
82678;23/02/2018;0000;0;0;
82678;23/02/2018;1200;27;0.3;
82678;23/02/2018;1800;32;1.6;
82678;24/02/2018;0000;9;0.5;
82678;24/02/2018;1200;27;0.3;
82678;24/02/2018;1800;23;0.5;
82678;25/02/2018;0000;27;2.5;
82678;25/02/2018;1200;0;0;
82678;25/02/2018;1800;0;0;
82678;26/02/2018;0000;32;0.5;
82678;26/02/2018;1200;0;0;
82678;26/02/2018;1800;36;0.3;
82678;27/02/2018;0000;0;0;
82678;27/02/2018;1200;36;1.6;
82678;27/02/2018;1800;9;2.5;
82678;28/02/2018;0000;0;0;
82678;28/02/2018;1200;32;1.6;
82678;28/02/2018;1800;27;0.5;
82678;01/03/2018;0000;36;1.3;
82678;01/03/2018;1200;9;0.51444;
82678;01/03/2018;1800;9;1.54332;
82678;02/03/2018;0000;0;0;
82678;02/03/2018;1200;36;0.51444;
82678;02/03/2018;1800;27;0.51444;
82678;03/03/2018;0000;14;0.51444;
82678;03/03/2018;1200;27;0.51444;
82678;03/03/2018;1800;9;1.54332;
82678;04/03/2018;0000;9;1.02888;
82678;04/03/2018;1200;9;1.54332;
82678;04/03/2018;1800;36;1.54332;
82678;05/03/2018;0000;9;1.54332;
82678;05/03/2018;1200;9;1.54332;
82678;05/03/2018;1800;5;0.51444;
82678;06/03/2018;0000;9;1.54332;
82678;06/03/2018;1200;5;1.02888;
82678;06/03/2018;1800;36;0.51444;
82678;07/03/2018;0000;9;1.54332;
82678;07/03/2018;1200;32;0.51444;
82678;07/03/2018;1800;5;0.51444;
82678;08/03/2018;1200;0;0;
82678;08/03/2018;1800;5;0.51444;
82678;09/03/2018;0000;0;0;
82678;09/03/2018;1200;18;0.51444;
82678;09/03/2018;1800;27;0.51444;
82678;10/03/2018;0000;18;1.02888;
82678;10/03/2018;1200;5;1.02888;
82678;10/03/2018;1800;5;1.02888;
82678;11/03/2018;0000;0;0;
82678;11/03/2018;1200;0;0;
82678;11/03/2018;1800;9;1.02888;
82678;12/03/2018;0000;0;0;
82678;12/03/2018;1200;36;2.05776;
82678;12/03/2018;1800;9;3.08664;
82678;13/03/2018;0000;0;0;
82678;13/03/2018;1200;36;0.51444;
82678;13/03/2018;1800;9;0.51444;
82678;14/03/2018;0000;0;0;
82678;14/03/2018;1200;0;0;
82678;14/03/2018;1800;18;1.54332;
82678;15/03/2018;0000;9;1.54332;
82678;15/03/2018;1200;9;1.02888;
82678;15/03/2018;1800;9;0.51444;
82678;16/03/2018;0000;18;0.51444;
82678;16/03/2018;1200;5;1.02888;
82678;16/03/2018;1800;18;0.51444;
82678;17/03/2018;0000;0;0;
82678;17/03/2018;1200;36;1.54332;
82678;17/03/2018;1800;0;0;
82678;18/03/2018;0000;0;0;
82678;18/03/2018;1200;36;0.51444;
82678;18/03/2018;1800;9;0.51444;
82678;19/03/2018;0000;18;0.51444;
82678;19/03/2018;1200;5;1.02888;
