Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82678;01/01/2017;0000;;37.1;;7.5;10.9;30.66;53.25;0;
82678;01/01/2017;1200;0;;23;;;;;;
82678;02/01/2017;0000;;36.6;;5.4;10.1;30.24;55.75;0.866667;
82678;02/01/2017;1200;0;;24.8;;;;;;
82678;03/01/2017;0000;;36.5;;6.6;7.1;30.26;53.75;0.433333;
82678;03/01/2017;1200;0;;25;;;;;;
82678;04/01/2017;0000;;36.3;;8.5;7.2;29.22;65.25;0.7;
82678;04/01/2017;1200;6.4;;23.2;;;;;;
82678;05/01/2017;0000;;37.7;;7.6;8.2;31.3;41.5;2.3;
82678;05/01/2017;1200;0;;26.2;;;;;;
82678;06/01/2017;0000;;37.5;;8.4;12.7;29.58;47.25;0.866667;
82678;06/01/2017;1200;0;;22.2;;;;;;
82678;07/01/2017;0000;;36.7;;7.2;12;29.5;60;0.1;
82678;07/01/2017;1200;0;;24.6;;;;;;
82678;08/01/2017;0000;;33.4;;4.2;6.9;27.54;74;1.433333;
82678;08/01/2017;1200;3.8;;23.4;;;;;;
82678;09/01/2017;0000;;35.4;;6.4;4.7;29.1;62;1.033333;
82678;09/01/2017;1200;0;;23.8;;;;;;
82678;10/01/2017;0000;;30.9;;1.6;6.3;26.98;83.75;0.266667;
82678;10/01/2017;1200;0;;25;;;;;;
82678;11/01/2017;0000;;33.5;;7;2.3;25.66;82.75;0.166667;
82678;11/01/2017;1200;47.9;;23.2;;;;;;
82678;12/01/2017;0000;;34.7;;8.7;3.3;28.46;68.75;1.033333;
82678;12/01/2017;1200;4.2;;22.6;;;;;;
82678;13/01/2017;0000;;34.5;;6.6;4.7;29.64;68.75;1.533333;
82678;13/01/2017;1200;0;;25.1;;;;;;
82678;14/01/2017;0000;;30.3;;1.3;5;25.98;85.5;0.266667;
82678;14/01/2017;1200;6;;23.4;;;;;;
82678;15/01/2017;0000;;34.3;;8.6;2.4;28.74;65.75;0.5;
82678;15/01/2017;1200;1.8;;23.6;;;;;;
82678;16/01/2017;0000;;32.9;;3.8;4.6;27.24;84.25;1.366667;
82678;16/01/2017;1200;20.7;;24.1;;;;;;
82678;17/01/2017;0000;;28.9;;2.5;2.5;25.72;87.5;0.766667;
82678;17/01/2017;1200;1.3;;22.9;;;;;;
82678;18/01/2017;0000;;34.5;;10.5;1.9;28.4;69;0.6;
82678;18/01/2017;1200;0;;23.3;;;;;;
82678;19/01/2017;0000;;32;;6.2;4.6;25.92;83.75;0.966667;
82678;19/01/2017;1200;71.8;;21.2;;;;;;
82678;20/01/2017;0000;;30.6;;2;3.4;24.9;90.25;0.633333;
82678;20/01/2017;1200;5.7;;21.5;;;;;;
82678;21/01/2017;0000;;34.7;;9.7;1.6;27.94;72;0.9;
82678;21/01/2017;1200;1.9;;21.7;;;;;;
82678;22/01/2017;0000;;33.7;;7.8;4.7;28.38;72;0.433333;
82678;22/01/2017;1200;0;;24;;;;;;
82678;23/01/2017;0000;;34.5;;8.9;4.8;28.66;69;0.166667;
82678;23/01/2017;1200;0;;24.4;;;;;;
