Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82296;01/01/2017;0000;;37;;7.9;;;69.25;2.666667;
82296;01/01/2017;1200;0;;24.9;;;;;;
82296;02/01/2017;0000;;36.4;;4.5;;28;86.5;1.666667;
82296;02/01/2017;1200;0;;23.9;;;;;;
82296;03/01/2017;0000;;35.5;;8.9;;28.54;75;6.333333;
82296;03/01/2017;1200;6.8;;23.9;;;;;;
82296;04/01/2017;0000;;35.5;;8.3;;28.86;74;7.333333;
82296;04/01/2017;1200;8.5;;23.7;;;;;;
82296;05/01/2017;0000;;37.7;;9.3;;28.46;71.25;4.666667;
82296;05/01/2017;1200;0;;23.3;;;;;;
82296;06/01/2017;0000;;36;;8.2;;28.52;79.75;3.666667;
82296;06/01/2017;1200;0.9;;23.3;;;;;;
82296;07/01/2017;0000;;35.7;;8.8;;28.58;81;5.333333;
82296;07/01/2017;1200;0.6;;23.9;;;;;;
82296;08/01/2017;0000;;34.7;;6.8;;28.46;74.25;4.066667;
82296;08/01/2017;1200;1.7;;24.1;;;;;;
82296;09/01/2017;0000;;34.8;;3.3;;27.08;82.5;4.666667;
82296;09/01/2017;1200;0;;21.5;;;;;;
82296;10/01/2017;0000;;34.5;;4.3;;27.7;75;4;
82296;10/01/2017;1200;8.2;;21.5;;;;;;
82296;11/01/2017;0000;;32.5;;3.5;;27.66;73.25;5;
82296;11/01/2017;1200;0;;24.3;;;;;;
82296;12/01/2017;0000;;36.2;;9.8;;28.56;72.5;4.333333;
82296;12/01/2017;1200;0;;22.5;;;;;;
82296;13/01/2017;0000;;36;;9.5;;28.72;73.25;5;
82296;13/01/2017;1200;0;;23.7;;;;;;
82296;14/01/2017;0000;;36.5;;3.7;;28.78;69;6;
82296;14/01/2017;1200;0;;23.9;;;;;;
82296;15/01/2017;0000;;36.3;;9.7;;28.9;73.5;3;
82296;15/01/2017;1200;0;;23.7;;;;;;
82296;16/01/2017;0000;;34.8;;6.2;;28.2;75.5;5.666667;
82296;16/01/2017;1200;0;;23.5;;;;;;
82296;17/01/2017;0000;;34;;7.3;;28.24;75.75;2.4;
82296;17/01/2017;1200;8;;23.5;;;;;;
82296;18/01/2017;0000;;36;;8.5;;27.24;80.25;3;
82296;18/01/2017;1200;0;;22.3;;;;;;
82296;19/01/2017;0000;;29.7;;0;;24.34;92.5;0.666667;
82296;19/01/2017;1200;58.3;;21.9;;;;;;
82296;20/01/2017;0000;;33;;4.5;;27.28;80.75;1.666667;
82296;20/01/2017;1200;3.6;;22.1;;;;;;
82296;21/01/2017;0000;;34.3;;6.8;;28.02;78.75;3;
82296;21/01/2017;1200;0;;23.9;;;;;;
82296;22/01/2017;0000;;33;;5.8;;26.88;86.25;4.666667;
82296;22/01/2017;1200;0;;22.5;;;;;;
82296;23/01/2017;0000;;34.7;;10.6;;27.82;81.75;3.333333;
