,data,vel_m,month,year
4344,2001-11-02,2.072,11,2001
4345,2001-11-03,1.554,11,2001
4346,2001-11-04,0.345333,11,2001
4347,2001-11-05,1.381333,11,2001
4348,2001-11-06,0.0,11,2001
4349,2001-11-08,3.108,11,2001
4350,2001-11-09,2.417333,11,2001
4351,2001-11-10,3.108,11,2001
4352,2001-11-11,2.417333,11,2001
4353,2001-11-12,1.381333,11,2001
4354,2001-11-13,2.762667,11,2001
4355,2001-11-14,1.036,11,2001
4356,2001-11-15,2.762667,11,2001
4357,2001-11-16,2.2446669999999997,11,2001
4358,2001-11-17,2.072,11,2001
4359,2001-11-18,2.417333,11,2001
4360,2001-11-19,4.489333,11,2001
4361,2001-11-20,2.417333,11,2001
4362,2001-11-21,2.072,11,2001
4363,2001-11-22,1.036,11,2001
4364,2001-11-23,2.762667,11,2001
4365,2001-11-24,1.381333,11,2001
4366,2001-11-25,0.690667,11,2001
4367,2001-11-26,2.59,11,2001
4368,2001-11-27,1.381333,11,2001
4369,2001-11-28,2.417333,11,2001
4370,2001-11-29,1.036,11,2001
4371,2001-11-30,0.0,11,2001
4372,2001-12-01,0.0,12,2001
4373,2001-12-02,0.0,12,2001
4374,2001-12-03,2.417333,12,2001
4375,2001-12-04,2.417333,12,2001
4376,2001-12-05,3.798667,12,2001
4377,2001-12-06,3.798667,12,2001
4378,2001-12-07,4.489333,12,2001
4379,2001-12-08,2.417333,12,2001
4380,2001-12-09,1.381333,12,2001
4381,2001-12-10,2.417333,12,2001
4382,2001-12-11,1.7266669999999997,12,2001
4383,2001-12-12,2.072,12,2001
4384,2001-12-13,3.798667,12,2001
4385,2001-12-14,2.072,12,2001
4386,2001-12-15,1.381333,12,2001
4387,2001-12-16,2.072,12,2001
4388,2001-12-17,0.0,12,2001
4389,2001-12-18,3.798667,12,2001
4390,2001-12-19,2.762667,12,2001
4391,2001-12-20,3.453333,12,2001
4392,2001-12-21,3.798667,12,2001
4393,2001-12-24,3.108,12,2001
4394,2001-12-25,3.108,12,2001
4395,2001-12-26,0.345333,12,2001
4396,2001-12-27,1.381333,12,2001
4397,2001-12-28,3.453333,12,2001
4398,2001-12-29,0.0,12,2001
4399,2001-12-30,2.072,12,2001
4400,2001-12-31,1.381333,12,2001
4401,2002-01-01,2.762667,1,2002
4402,2002-01-02,0.690667,1,2002
4403,2002-01-03,2.072,1,2002
4404,2002-01-04,1.036,1,2002
4405,2002-01-05,1.381333,1,2002
4406,2002-01-06,2.762667,1,2002
4407,2002-01-07,1.036,1,2002
4408,2002-01-08,1.554,1,2002
4409,2002-01-09,4.144,1,2002
4410,2002-01-10,1.036,1,2002
4411,2002-01-11,2.762667,1,2002
4412,2002-01-12,1.036,1,2002
4413,2002-01-14,1.036,1,2002
4414,2002-01-15,2.417333,1,2002
4415,2002-01-16,1.7266669999999997,1,2002
4416,2002-01-17,3.453333,1,2002
4417,2002-01-18,2.762667,1,2002
4418,2002-01-19,2.072,1,2002
4419,2002-01-20,1.7266669999999997,1,2002
4420,2002-01-21,1.036,1,2002
4421,2002-01-22,2.417333,1,2002
4422,2002-01-23,0.345333,1,2002
4423,2002-01-24,0.345333,1,2002
4424,2002-01-25,0.345333,1,2002
4425,2002-01-26,0.690667,1,2002
4426,2002-01-27,2.762667,1,2002
4427,2002-01-28,0.690667,1,2002
4428,2002-01-29,2.072,1,2002
4429,2002-01-30,1.554,1,2002
4430,2002-01-31,3.798667,1,2002
4431,2002-02-01,2.762667,2,2002
4432,2002-02-02,1.036,2,2002
4433,2002-02-03,2.072,2,2002
4434,2002-02-04,2.417333,2,2002
4435,2002-02-05,0.666667,2,2002
4436,2002-02-06,0.345333,2,2002
4437,2002-02-07,0.690667,2,2002
4438,2002-02-08,4.489333,2,2002
4439,2002-02-09,0.0,2,2002
4440,2002-02-10,0.518,2,2002
4441,2002-02-11,3.108,2,2002
4442,2002-02-12,2.072,2,2002
4443,2002-02-13,1.7266669999999997,2,2002
4444,2002-02-14,1.554,2,2002
4445,2002-02-15,3.108,2,2002
4446,2002-02-16,1.7266669999999997,2,2002
4447,2002-02-17,1.381333,2,2002
4448,2002-02-18,2.072,2,2002
4449,2002-02-19,1.036,2,2002
4450,2002-02-20,0.690667,2,2002
4451,2002-02-21,2.417333,2,2002
4452,2002-02-22,2.417333,2,2002
4453,2002-02-23,1.7266669999999997,2,2002
4454,2002-02-24,0.690667,2,2002
4455,2002-02-25,1.036,2,2002
4456,2002-02-26,3.798667,2,2002
4457,2002-02-27,4.489333,2,2002
4458,2002-02-28,4.144,2,2002
4459,2002-03-01,1.381333,3,2002
4460,2002-03-02,2.072,3,2002
4461,2002-03-03,2.762667,3,2002
4462,2002-03-04,1.554,3,2002
4463,2002-03-05,1.7266669999999997,3,2002
4464,2002-03-06,0.345333,3,2002
4465,2002-03-07,3.798667,3,2002
4466,2002-03-08,1.7266669999999997,3,2002
4467,2002-03-09,0.690667,3,2002
4468,2002-03-10,1.036,3,2002
4469,2002-03-11,2.417333,3,2002
4470,2002-03-12,3.453333,3,2002
4471,2002-03-13,0.690667,3,2002
4472,2002-03-14,1.7266669999999997,3,2002
4473,2002-03-15,0.690667,3,2002
4474,2002-03-16,0.0,3,2002
4475,2002-03-17,3.798667,3,2002
4476,2002-03-18,3.791547,3,2002
4477,2002-03-19,0.68592,3,2002
4478,2002-03-20,0.0,3,2002
4479,2002-03-21,0.68592,3,2002
4480,2002-03-22,1.02888,3,2002
4481,2002-03-23,0.0,3,2002
4482,2002-03-24,0.68592,3,2002
4483,2002-03-25,1.37184,3,2002
4484,2002-03-26,1.02888,3,2002
4485,2002-03-27,2.74368,3,2002
4486,2002-03-28,2.74368,3,2002
4487,2002-03-29,3.77256,3,2002
4488,2002-03-30,1.7148,3,2002
4489,2002-03-31,0.51444,3,2002
4490,2002-04-01,3.77256,4,2002
4491,2002-04-02,1.37184,4,2002
4492,2002-04-03,1.37184,4,2002
4493,2002-04-04,1.7148,4,2002
4494,2002-04-05,1.37184,4,2002
