Estacao;Data;Hora;Velocidade do Vento Media;
82990;01/01/1977;0000;4.333333;
82990;02/01/1977;0000;3.666667;
82990;03/01/1977;0000;3.666667;
82990;04/01/1977;0000;3;
82990;05/01/1977;0000;3;
82990;06/01/1977;0000;6;
82990;07/01/1977;0000;5;
82990;08/01/1977;0000;4.333333;
82990;09/01/1977;0000;1.333333;
82990;10/01/1977;0000;4;
82990;11/01/1977;0000;3.666667;
82990;12/01/1977;0000;4.333333;
82990;13/01/1977;0000;3;
82990;14/01/1977;0000;6.333333;
82990;15/01/1977;0000;3;
82990;16/01/1977;0000;2.333333;
82990;17/01/1977;0000;1.333333;
82990;18/01/1977;0000;1;
82990;19/01/1977;0000;1.666667;
82990;20/01/1977;0000;1.666667;
82990;21/01/1977;0000;1;
82990;22/01/1977;0000;1;
82990;23/01/1977;0000;3;
82990;24/01/1977;0000;2.333333;
82990;25/01/1977;0000;1.333333;
82990;26/01/1977;0000;1.666667;
82990;27/01/1977;0000;0.666667;
82990;28/01/1977;0000;2;
82990;29/01/1977;0000;1.333333;
82990;30/01/1977;0000;3.666667;
82990;31/01/1977;0000;0.333333;
82990;01/02/1977;0000;1;
82990;02/02/1977;0000;1;
82990;03/02/1977;0000;1.666667;
82990;04/02/1977;0000;3;
82990;05/02/1977;0000;2;
82990;06/02/1977;0000;2.666667;
82990;07/02/1977;0000;4;
82990;08/02/1977;0000;2.333333;
82990;09/02/1977;0000;4;
82990;10/02/1977;0000;4.333333;
82990;11/02/1977;0000;6.333333;
82990;12/02/1977;0000;2.333333;
82990;13/02/1977;0000;3.333333;
82990;14/02/1977;0000;4;
82990;15/02/1977;0000;3;
82990;16/02/1977;0000;3.666667;
82990;17/02/1977;0000;3;
82990;18/02/1977;0000;4;
82990;19/02/1977;0000;2.666667;
82990;20/02/1977;0000;3;
82990;21/02/1977;0000;4;
82990;22/02/1977;0000;4.333333;
82990;23/02/1977;0000;3.666667;
82990;24/02/1977;0000;5;
82990;25/02/1977;0000;5;
82990;26/02/1977;0000;2.333333;
82990;27/02/1977;0000;3.333333;
82990;28/02/1977;0000;3;
82990;01/03/1977;0000;4;
82990;02/03/1977;0000;5;
82990;03/03/1977;0000;4;
