Estacao;Data;Hora;Velocidade do Vento Media;
82996;01/01/1993;0000;7;
82996;02/01/1993;0000;6;
82996;03/01/1993;0000;7;
82996;04/01/1993;0000;5.5;
82996;05/01/1993;0000;0.7;
82996;06/01/1993;0000;7;
82996;07/01/1993;0000;4;
82996;08/01/1993;0000;3.5;
82996;09/01/1993;0000;3;
82996;10/01/1993;0000;6;
82996;11/01/1993;0000;8;
82996;12/01/1993;0000;8;
82996;13/01/1993;0000;5;
82996;14/01/1993;0000;4;
82996;15/01/1993;0000;5;
82996;16/01/1993;0000;6;
82996;17/01/1993;0000;5;
82996;18/01/1993;0000;7;
82996;19/01/1993;0000;6;
82996;20/01/1993;0000;8;
82996;21/01/1993;0000;9;
82996;22/01/1993;0000;7;
82996;23/01/1993;0000;8;
82996;24/01/1993;0000;7;
82996;25/01/1993;0000;7;
82996;26/01/1993;0000;7;
82996;27/01/1993;0000;6;
82996;28/01/1993;0000;5;
82996;29/01/1993;0000;5;
82996;30/01/1993;0000;6;
82996;31/01/1993;0000;6;
82996;01/02/1993;0000;9;
82996;02/02/1993;0000;6;
82996;03/02/1993;0000;8;
82996;04/02/1993;0000;7;
82996;24/02/1993;0000;7;
82996;25/02/1993;0000;7;
82996;26/02/1993;0000;7;
82996;27/02/1993;0000;8;
82996;28/02/1993;0000;5;
82996;01/03/1993;0000;7;
82996;02/03/1993;0000;8;
82996;03/03/1993;0000;4.5;
82996;04/03/1993;0000;7;
82996;05/03/1993;0000;5;
82996;06/03/1993;0000;6;
82996;07/03/1993;0000;6;
82996;08/03/1993;0000;6;
82996;09/03/1993;0000;6;
82996;10/03/1993;0000;8;
82996;11/03/1993;0000;6;
82996;12/03/1993;0000;9.5;
82996;13/03/1993;0000;5;
82996;14/03/1993;0000;4;
82996;15/03/1993;0000;7;
82996;16/03/1993;0000;6;
82996;17/03/1993;0000;6;
82996;18/03/1993;0000;6;
82996;19/03/1993;0000;7;
82996;20/03/1993;0000;5;
82996;21/03/1993;0000;5;
82996;22/03/1993;0000;4.5;
82996;23/03/1993;0000;2.5;
82996;24/03/1993;0000;4.5;
82996;25/03/1993;0000;6;
82996;26/03/1993;0000;6;
82996;27/03/1993;0000;4;
82996;28/03/1993;0000;2.5;
82996;29/03/1993;0000;3;
82996;30/03/1993;0000;4;
82996;31/03/1993;0000;4;
82996;01/04/1993;0000;7;
82996;02/04/1993;0000;7;
82996;03/04/1993;0000;5;
82996;04/04/1993;0000;8;
82996;05/04/1993;0000;10.5;
82996;06/04/1993;0000;9.5;
82996;07/04/1993;0000;7;
82996;08/04/1993;0000;6;
82996;09/04/1993;0000;6;
82996;10/04/1993;0000;4;
82996;11/04/1993;0000;4;
82996;12/04/1993;0000;6;
82996;13/04/1993;0000;5;
82996;14/04/1993;0000;5;
82996;15/04/1993;0000;7;
82996;16/04/1993;0000;4;
82996;17/04/1993;0000;3.5;
82996;18/04/1993;0000;6;
82996;19/04/1993;0000;1.5;
82996;20/04/1993;0000;4.5;
82996;21/04/1993;0000;5;
82996;22/04/1993;0000;5;
82996;23/04/1993;0000;2.5;
82996;24/04/1993;0000;5;
82996;25/04/1993;0000;3.5;
82996;26/04/1993;0000;6;
82996;27/04/1993;0000;6;
82996;28/04/1993;0000;2.5;
82996;29/04/1993;0000;6;
82996;30/04/1993;0000;9;
82996;01/05/1993;0000;7;
82996;02/05/1993;0000;1;
82996;03/05/1993;0000;1;
82996;04/05/1993;0000;6;
82996;05/05/1993;0000;7;
82996;06/05/1993;0000;6;
82996;07/05/1993;0000;4;
82996;08/05/1993;0000;4;
82996;09/05/1993;0000;7;
82996;10/05/1993;0000;5;
82996;11/05/1993;0000;7;
82996;12/05/1993;0000;7;
82996;13/05/1993;0000;4;
82996;14/05/1993;0000;6;
82996;15/05/1993;0000;4.5;
82996;16/05/1993;0000;5;
82996;17/05/1993;0000;3.5;
82996;18/05/1993;0000;7;
82996;19/05/1993;0000;4;
82996;20/05/1993;0000;3;
82996;21/05/1993;0000;2.5;
82996;22/05/1993;0000;2.5;
82996;23/05/1993;0000;3.5;
82996;24/05/1993;0000;4;
82996;25/05/1993;0000;2.5;
82996;26/05/1993;0000;1.5;
82996;27/05/1993;0000;4;
82996;28/05/1993;0000;5;
82996;29/05/1993;0000;7;
82996;30/05/1993;0000;4;
82996;31/05/1993;0000;4;
82996;01/06/1993;0000;1.5;
82996;02/06/1993;0000;6;
82996;03/06/1993;0000;6;
82996;04/06/1993;0000;5;
82996;05/06/1993;0000;8;
82996;06/06/1993;0000;6;
82996;07/06/1993;0000;7;
82996;08/06/1993;0000;8;
82996;09/06/1993;0000;12;
82996;10/06/1993;0000;4.5;
82996;11/06/1993;0000;3;
82996;12/06/1993;0000;8;
82996;13/06/1993;0000;4.5;
82996;14/06/1993;0000;5;
82996;15/06/1993;0000;4.5;
82996;16/06/1993;0000;9.5;
82996;17/06/1993;0000;8;
82996;18/06/1993;0000;0;
82996;19/06/1993;0000;1;
82996;20/06/1993;0000;1.5;
82996;21/06/1993;0000;5;
82996;22/06/1993;0000;2.5;
82996;23/06/1993;0000;7;
82996;24/06/1993;0000;4.5;
82996;25/06/1993;0000;4;
82996;26/06/1993;0000;4.5;
82996;27/06/1993;0000;2;
82996;28/06/1993;0000;2;
82996;29/06/1993;0000;1.5;
82996;30/06/1993;0000;3.5;
82996;01/07/1993;0000;3;
82996;02/07/1993;0000;2;
82996;03/07/1993;0000;1.5;
82996;04/07/1993;0000;2.5;
82996;05/07/1993;0000;3.5;
82996;06/07/1993;0000;5;
82996;07/07/1993;0000;4;
82996;08/07/1993;0000;3.5;
82996;09/07/1993;0000;6;
82996;10/07/1993;0000;8;
82996;11/07/1993;0000;3.5;
82996;12/07/1993;0000;9;
82996;13/07/1993;0000;5;
82996;14/07/1993;0000;8;
82996;15/07/1993;0000;5;
82996;16/07/1993;0000;1.5;
82996;17/07/1993;0000;2.5;
82996;18/07/1993;0000;8;
82996;19/07/1993;0000;4.5;
82996;20/07/1993;0000;8;
82996;21/07/1993;0000;5;
82996;22/07/1993;0000;6;
82996;23/07/1993;0000;4;
82996;24/07/1993;0000;3.5;
82996;25/07/1993;0000;2.5;
82996;26/07/1993;0000;2;
82996;27/07/1993;0000;2;
82996;28/07/1993;0000;8;
82996;29/07/1993;0000;7;
82996;30/07/1993;0000;1.5;
82996;31/07/1993;0000;8.5;
82996;01/08/1993;0000;6.5;
82996;02/08/1993;0000;4;
82996;03/08/1993;0000;6;
82996;04/08/1993;0000;8;
