,Data,Cota,Vazao
77,1988-02-19,388,319
78,1989-01-16,320,227
79,1989-03-18,387,353
80,1989-05-20,320,224
81,1989-09-21,300,180
82,1990-08-29,276,158
83,1992-02-21,367,300
84,1992-01-06,288,170
85,1992-11-30,303,183
86,1993-03-03,361,279
87,1993-01-04,412,379
88,1993-06-21,272,154
89,1993-02-11,263,142
90,1994-03-02,337,245
91,1994-04-19,336,239
92,1994-10-05,300,187
93,1994-09-30,260,132
94,1994-10-12,291,170
95,1995-10-04,384,338
96,1995-07-07,281,177
97,1995-06-10,259,132
98,1995-12-15,350,264
99,1996-02-26,341,269
100,1996-03-24,350,277
101,1996-06-07,275,149
102,1996-08-30,260,129
103,1996-11-22,347,299
104,1997-03-27,461,530
105,1997-04-22,335,235
106,1997-08-07,287,165
107,1997-08-11,271,161
108,1998-03-14,327,248
109,1998-05-17,298,167
110,1998-07-18,277,139
111,1998-11-26,387,283
112,1999-03-04,320,197
113,1999-05-24,312,183
114,1999-07-20,286,140
115,1999-11-25,390,345
116,2000-06-25,306,166
117,2000-10-10,298,152
118,2000-11-18,350,241
149,1995-06-10,259,132
150,1996-03-24,350,262
151,2001-06-20,298,162
152,2001-09-28,276,134
153,2001-11-28,342,230
154,2002-02-05,311,186
155,2002-06-07,292,163
156,2002-09-21,274,142
157,2002-11-12,354,245
158,2003-07-31,279,132
159,2003-10-25,277,128
160,2004-11-08,285,146
161,2005-08-06,310,174
162,2005-09-26,288,150
163,2004-09-11,280,139
164,2003-08-04,325,209
165,2006-10-21,309,181
166,2007-08-31,274,130
167,2007-03-27,329,230
168,2007-03-12,330,205
169,2008-03-29,438,423
170,2008-07-23,289,145
171,2008-06-11,272,142
172,2009-03-28,382,317
173,2009-07-21,300,166
174,2009-11-27,299,166
175,2010-04-03,350,258
176,2010-09-24,269,121
177,2011-01-26,370,291
178,1988-02-19,388,319
179,1988-02-19,388,319
180,1988-02-19,388,319
181,2011-06-13,296,163
182,2011-05-09,273,128
183,2011-11-29,351,244
184,2012-01-19,345,244
185,2012-05-30,299,165
186,2012-08-22,274,123
187,2012-11-24,305,176
188,2013-10-06,295,157
189,2013-08-30,271,128
190,2014-01-28,356,268
191,2014-04-06,292,170
192,2014-08-29,269,131
193,2015-04-16,302,174
194,2015-07-17,273,129
195,2015-02-11,274,108
196,2016-03-28,308,179
197,2016-07-14,263,115
258,1988-02-19,388,319
259,1988-04-17,350,278
260,1988-06-23,296,185
261,1989-01-16,320,227
262,1989-03-18,387,353
263,1989-05-20,320,224
264,1989-09-21,300,180
265,1990-08-29,276,158
266,1992-02-21,367,300
267,1992-01-06,288,170
268,1992-11-30,303,183
269,1993-03-03,361,279
270,1993-01-04,412,379
271,1993-06-21,272,154
272,1993-02-11,263,142
273,1994-03-02,337,245
274,1994-04-19,336,239
275,1994-10-05,300,187
276,1994-09-30,260,132
277,1994-10-12,291,170
278,1995-10-04,384,338
279,1995-07-07,281,177
280,1995-06-10,259,132
281,1995-12-15,350,264
282,1996-02-26,341,269
283,1996-03-24,350,277
284,1996-03-24,350,262
285,1996-06-07,275,149
286,1996-08-30,260,129
287,1996-11-22,347,299
288,1997-03-27,461,530
289,1997-04-22,335,235
290,1997-08-07,287,165
291,1997-08-11,271,161
292,1998-03-14,327,248
293,1998-05-17,298,167
294,1998-07-18,277,139
295,1999-03-04,320,197
296,1999-05-24,312,183
297,1999-07-20,286,140
298,1999-11-25,390,345
299,2000-01-04,368,281
300,2000-06-25,306,167
301,2000-10-10,298,153
302,2000-11-18,350,241
303,2001-06-20,298,162
304,2001-09-29,276,135
305,2001-11-28,342,230
306,2002-02-05,311,186
307,2002-06-07,292,164
308,2002-09-21,274,143
309,2002-11-12,354,254
310,2003-08-04,325,209
311,2003-07-31,279,132
312,2003-10-25,277,129
313,2004-11-08,285,146
314,2004-09-11,280,139
315,2005-08-06,310,174
316,2005-09-26,288,150
317,2006-10-21,309,181
318,2007-03-27,329,230
319,2007-08-31,274,130
320,2007-03-12,330,205
321,2008-03-29,438,423
322,2008-07-23,289,145
323,2008-06-11,272,142
324,2009-03-28,382,317
325,2009-07-21,300,166
326,2009-11-27,299,166
327,2010-04-03,350,258
328,2010-09-24,269,121
329,2011-01-26,370,291
330,2011-06-13,296,163
331,2011-05-09,273,128
332,2011-11-29,351,244
333,2012-01-19,345,244
334,2012-05-30,299,165
335,2012-08-22,274,123
336,2012-11-24,305,176
337,2013-10-06,295,157
338,2013-08-30,271,128
386,2014-01-28,356,268
387,2014-04-06,292,170
388,2014-08-29,269,131
389,2016-04-10,266,125
390,2017-01-30,307,188
391,2017-03-16,313,191
392,2017-07-27,268,119
393,2017-11-16,290,152
394,2018-01-26,302,171
395,2017-01-30,307,188
396,2017-03-16,313,191
397,2018-07-26,268,125
398,2018-11-28,312,188
