,month,year,vazao
0,1,1966,230.477
1,2,1966,487.809
2,3,1966,302.639
3,4,1966,236.85
4,5,1966,179.17700000000005
5,6,1966,157.569
6,7,1966,142.69299999999996
7,8,1966,133.49200000000002
8,9,1966,140.465
9,10,1966,166.483
10,10,1966,191.801
11,11,1966,191.801
12,12,1966,267.001
13,1,1967,223.08900000000003
14,2,1967,351.848
15,3,1967,339.108
16,4,1967,434.699
17,5,1967,211.278
18,6,1967,161.11700000000005
19,7,1967,144.291
20,8,1967,144.596
21,9,1967,147.714
22,10,1967,146.447
23,10,1967,287.905
24,11,1967,287.905
25,12,1967,296.4290000000001
26,1,1968,338.01199999999994
27,2,1968,346.918
28,3,1968,404.559
29,4,1968,238.569
30,5,1968,199.468
31,6,1968,170.03900000000004
32,7,1968,160.00799999999995
33,8,1968,149.958
34,9,1968,138.579
35,10,1968,157.59799999999996
36,11,1968,253.448
37,12,1968,271.811
38,1,1969,274.897
39,2,1969,302.603
40,3,1969,359.4430000000001
41,4,1969,202.537
42,5,1969,198.427
43,6,1969,162.855
44,7,1969,149.201
45,8,1969,138.202
46,9,1969,134.602
47,10,1969,149.981
48,11,1969,187.927
49,12,1969,294.634
50,1,1970,378.888
51,2,1970,275.23900000000003
52,3,1970,264.065
53,4,1970,227.807
54,5,1970,180.285
55,6,1970,155.207
56,7,1970,144.873
57,8,1970,133.937
58,9,1970,128.61700000000002
59,10,1970,189.515
60,11,1970,259.589
61,12,1970,218.984
62,1,1971,198.264
63,2,1971,241.201
64,3,1971,254.642
65,4,1971,299.9790000000001
66,5,1971,191.935
67,6,1971,163.065
68,7,1971,147.747
69,8,1971,140.77100000000004
70,9,1971,134.681
71,10,1971,147.616
72,11,1971,234.207
73,12,1971,215.844
74,1,1972,225.462
75,2,1972,255.638
76,3,1972,245.054
77,4,1972,228.34
78,5,1972,171.88099999999997
79,6,1972,157.575
80,7,1972,145.626
81,8,1972,138.66299999999998
82,9,1972,135.08700000000002
83,10,1972,159.014
84,11,1972,198.626
85,12,1972,229.604
86,1,1973,211.505
87,2,1973,233.712
88,3,1973,279.92
89,4,1973,273.025
90,5,1973,182.607
91,6,1973,131.4
92,7,1973,158.225
93,8,1973,157.208
94,9,1973,148.481
95,10,1973,195.633
96,11,1973,196.177
97,12,1973,241.286
98,1,1974,254.313
99,2,1974,281.097
100,3,1974,439.379
101,4,1974,345.19699999999995
102,5,1974,278.999
103,6,1974,179.91
104,7,1974,142.11700000000005
105,8,1974,126.347
106,9,1974,120.721
107,10,1974,169.668
108,11,1974,204.202
109,12,1974,192.065
110,1,1975,218.018
111,2,1975,278.97900000000004
112,3,1975,298.905
113,4,1975,290.976
114,5,1975,203.281
115,6,1975,178.53599999999997
116,7,1975,175.02900000000002
117,8,1975,152.299
118,9,1975,141.061
119,10,1975,187.885
120,11,1975,234.385
121,12,1975,229.112
122,1,1976,247.818
123,2,1976,319.535
124,3,1976,287.306
125,4,1976,273.871
126,5,1976,202.956
127,6,1976,170.535
128,7,1976,154.059
129,8,1976,141.275
130,9,1976,142.159
131,10,1976,200.853
132,11,1976,229.646
133,12,1976,236.005
134,1,1977,291.448
135,2,1977,312.789
136,3,1977,249.77
137,4,1977,314.171
138,5,1977,261.746
139,6,1977,186.492
140,7,1977,164.894
141,8,1977,150.292
142,9,1977,148.781
143,10,1977,205.038
144,11,1977,195.049
145,12,1977,311.555
146,1,1978,323.081
147,2,1978,333.33
148,3,1978,473.492
149,4,1978,302.8640000000001
150,5,1978,296.157
151,6,1978,213.704
152,7,1978,190.905
153,8,1978,168.67
154,9,1978,157.506
155,10,1978,211.104
156,11,1978,204.718
157,12,1978,299.129
158,1,1979,445.761
159,2,1979,685.779
160,3,1979,325.289
161,4,1979,318.264
162,5,1979,250.67
163,6,1979,206.764
