"","x"
"1",230.477
"2",487.809
"3",302.639
"4",236.85
"5",179.177
"6",157.569
"7",142.693
"8",133.492
"9",140.465
"10",166.483
"11",191.801
"12",267.001
"13",223.089
"14",351.848
"15",339.108
"16",434.699
"17",211.278
"18",161.117
"19",144.291
"20",144.596
"21",147.714
"22",146.447
"23",287.905
"24",287.905
"25",296.429
"26",338.012
"27",346.918
"28",404.559
"29",238.569
"30",199.468
"31",170.039
"32",160.008
"33",149.958
"34",138.579
"35",157.598
"36",253.448
"37",271.811
"38",274.897
"39",302.603
"40",359.443
"41",202.537
"42",198.427
"43",162.855
"44",149.201
"45",138.202
"46",134.602
"47",149.981
"48",187.927
"49",294.634
"50",378.888
"51",275.239
"52",264.065
"53",227.807
"54",180.285
"55",155.207
"56",144.873
"57",133.937
"58",128.617
"59",189.515
"60",259.589
"61",218.984
"62",198.264
"63",241.201
"64",254.642
"65",299.979
"66",191.935
"67",163.065
"68",147.747
"69",140.771
"70",134.681
"71",147.616
"72",234.207
"73",215.844
"74",225.462
"75",255.638
"76",245.054
"77",228.34
"78",171.881
"79",157.575
"80",145.626
"81",138.663
"82",135.087
"83",159.014
"84",198.626
"85",229.604
"86",211.505
"87",233.712
"88",279.92
"89",273.025
"90",182.607
"91",131.4
"92",158.225
"93",157.208
"94",148.481
"95",195.633
"96",196.177
"97",241.286
"98",254.313
"99",281.097
"100",439.379
"101",345.197
"102",278.999
"103",179.91
"104",142.117
"105",126.347
"106",120.721
"107",169.668
"108",204.202
"109",192.065
"110",218.018
"111",278.979
"112",298.905
"113",290.976
"114",203.281
"115",178.536
"116",175.029
"117",152.299
"118",141.061
"119",187.885
"120",234.385
"121",229.112
"122",247.818
"123",319.535
"124",287.306
"125",273.871
"126",202.956
"127",170.535
"128",154.059
"129",141.275
"130",142.159
"131",200.853
"132",229.646
"133",236.005
"134",291.448
"135",312.789
"136",249.77
"137",314.171
"138",261.746
"139",186.492
"140",164.894
"141",150.292
"142",148.781
"143",205.038
"144",195.049
"145",311.555
"146",323.081
"147",333.33
"148",473.492
"149",302.864
"150",296.157
"151",213.704
"152",190.905
"153",168.67
"154",157.506
"155",211.104
"156",204.718
"157",299.129
