EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
34060000;1;01/02/2015;;1;1;288,945;160,768;215,243;21;2;1;1;1;;0;162,266;160,768;163,018;188,682;238,673;266,076;236,894;212,602;217,709;233,352;228,958;212,602;198,426;195,154;179,943;184,687;186,281;207,549;252,209;286,041;288,945;251,296;229,834;219,423;217,709;207,549;202,551;197,606;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
34060000;1;01/03/2015;;1;1;310,666;181,518;216,419;23;19;1;1;1;;0;184,687;182,308;189,486;240,459;214,299;193,527;182,308;189,486;210,912;222,006;194,34;184,687;203,38;231,59;216,001;206,713;186,281;182,308;181,518;194,34;232,47;305,824;310,666;281,229;256,794;253,123;237,783;221,144;209,228;207,549;202,551;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/01/2015;;1;1;234,235;143,98;169,986;7;18;1;1;1;;0;158,531;166,799;173,702;163,018;166,04;200,072;234,235;201,723;182,308;167,56;162,266;154,101;151,906;150,451;145,407;144,693;144,693;143,98;143,98;155,571;153,367;162,266;160,021;169,086;172,158;172,158;189,486;214,299;213,45;184,687;167,56;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/02/2016;;1;1;334,255;142,559;192,773;1;27;1;1;1;;0;334,255;292,838;258,639;252,209;233,352;233,352;235,12;231,59;212,602;187,88;178,373;182,308;184,687;183,099;191,098;191,098;184,687;176,81;166,04;160,021;154,835;152,636;149,002;146,84;143,98;143,269;142,559;143,269;143,98;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
34060000;1;01/01/2016;;1;1;742,835;126,671;336,958;29;3;1;1;1;;0;130,736;128,02;126,671;130,736;140,439;143,269;165,282;174,477;187,08;234,235;300,694;255,874;228,084;243,148;318,465;310,666;282,189;385,209;449,004;416,918;508,034;609,333;510,803;446,406;416,918;409,445;399,902;488,863;742,835;674,457;487,507;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/12/2015;;1;1;158,531;122,664;132,452;9;27;1;1;1;;0;143,98;141,144;136,938;132,789;128,696;126;126;139,736;158,531;146,123;139,736;134,857;132,103;128,696;128,696;138,334;142,559;133,477;130,054;126,671;123,994;124,661;126;128,02;134,166;128,696;122,664;122,664;129,374;125,329;125,329;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/11/2015;;1;1;160,021;116,762;128,896;27;8;1;1;1;;0;124,661;128,696;126,671;127,345;126;123,328;119,369;116,762;118,062;118,062;119,369;121,341;123,328;120,683;117,411;117,411;122,002;125,329;125,329;131,418;131,418;134,166;131,418;132,789;136,243;145,407;160,021;155,571;146,123;141,144;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/10/2015;;1;1;122,664;110,355;115,558;9;19;1;1;1;;0;112,898;114,823;115,467;114,18;112,898;114,18;114,18;115,467;122,664;122,002;120,025;122,664;120,025;116,762;115,467;114,823;112,898;110,989;110,355;110,355;110,355;110,355;110,355;112,898;113,538;117,411;118,715;118,062;118,062;117,411;122,002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/09/2015;;1;1;116,762;111,623;113,97;1;27;1;1;1;;0;116,762;115,467;115,467;115,467;115,467;115,467;115,467;115,467;115,467;115,467;114,18;114,18;114,18;114,18;114,18;114,18;114,18;114,18;113,538;112,898;112,898;112,898;112,898;112,898;112,898;112,26;111,623;111,623;111,623;111,623;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/08/2015;;1;1;124,661;116,762;120,034;1;30;1;1;1;;0;124,661;123,328;123,328;123,328;122,664;122,002;122,002;122,002;122,002;122,002;120,683;120,683;120,683;120,025;119,369;119,369;119,369;119,369;119,369;119,369;118,062;118,062;118,062;118,062;118,062;118,062;118,062;118,062;117,411;116,762;116,762;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
