,EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
19,34060000,2,1966-01-01,,1,1,374.032,150.204,230.477,15,2,2,2,2,,0,156.892,150.204,154.202,167.84799999999998,184.868,196.6,205.59900000000002,208.637,219.417,227.25799999999998,256.448,261.457,319.253,349.02099999999996,374.032,352.82099999999997,281.907,268.20099999999996,235.21599999999998,222.54,193.638,181.983,177.692,173.44400000000002,169.24,169.24,202.581,214.769,254.787,303.006,311.987,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
20,34060000,2,1966-01-02,,1,1,1251.75,205.59900000000002,487.809,11,28,2,2,2,,0,281.907,263.137,341.473,577.7090000000001,600.044,488.741,547.986,727.221,900.737,1244.0710000000001,1251.75,1075.651,919.687,622.4119999999999,466.599,372.082,315.611,294.13599999999997,283.64,271.6,258.113,246.55200000000002,233.615,228.84099999999998,217.863,213.229,208.637,205.59900000000002,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
21,34060000,2,1966-01-03,,1,1,802.475,186.31799999999998,302.639,11,30,2,2,2,,0,222.54,241.666,287.121,321.08,303.006,294.13599999999997,278.453,290.619,337.726,422.12199999999996,802.475,459.228,407.841,622.4119999999999,559.125,438.69800000000004,249.832,235.21599999999998,227.25799999999998,217.863,210.16299999999998,207.11599999999999,204.08700000000002,204.08700000000002,198.088,195.11700000000002,193.638,189.232,189.232,186.31799999999998,186.31799999999998,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22,34060000,2,1966-01-04,,1,1,352.82099999999997,172.03799999999998,236.85,11,27,2,2,2,,0,180.548,179.11700000000002,177.692,192.165,201.078,193.638,210.16299999999998,288.868,315.611,328.434,352.82099999999997,341.473,317.43,324.748,322.91200000000003,310.182,280.178,233.615,213.229,210.16299999999998,205.59900000000002,201.078,193.638,189.232,187.77200000000002,180.548,172.03799999999998,173.44400000000002,207.11599999999999,220.976,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
23,34060000,2,1966-01-05,,1,1,205.59900000000002,158.245,179.17700000000002,1,28,2,2,2,,0,205.59900000000002,201.078,201.078,201.078,201.078,205.59900000000002,202.581,201.078,198.088,192.165,192.165,189.232,180.548,176.271,173.44400000000002,169.24,169.24,169.24,169.24,169.24,166.46200000000002,166.46200000000002,166.46200000000002,166.46200000000002,163.703,163.703,160.964,158.245,158.245,158.245,158.245,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24,34060000,2,1966-01-06,,1,1,179.11700000000002,144.944,157.569,7,17,2,2,2,,0,158.245,156.892,155.545,155.545,158.245,165.08,179.11700000000002,179.11700000000002,170.637,166.46200000000002,163.703,162.33100000000002,162.33100000000002,160.964,160.964,160.964,144.944,155.545,152.865,152.865,152.865,150.204,150.204,150.204,150.204,150.204,150.204,150.204,150.204,150.204,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
25,34060000,2,1966-01-07,,1,1,147.564,137.202,142.69299999999998,1,29,2,2,2,,0,147.564,147.564,147.564,147.564,147.564,147.564,146.251,144.944,144.944,143.641,142.343,142.343,142.343,142.343,142.343,142.343,142.343,142.343,142.343,142.343,142.343,142.343,141.05,139.763,139.763,139.763,139.763,138.48,137.202,137.202,137.202,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26,34060000,2,1966-01-08,,1,1,137.202,129.642,133.49200000000002,1,28,2,2,2,,0,137.202,137.202,137.202,137.202,137.202,135.93,135.93,135.93,135.93,135.93,134.662,134.662,134.662,134.662,134.662,133.399,133.399,133.399,132.142,132.142,130.889,130.889,130.889,130.889,130.889,130.889,130.889,129.642,129.642,129.642,129.642,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27,34060000,2,1966-01-09,,1,1,193.638,124.70299999999999,140.465,22,14,2,2,2,,0,128.4,128.4,128.4,128.4,127.162,127.162,127.162,127.162,127.162,127.162,127.162,127.162,125.93,124.70299999999999,124.70299999999999,124.70299999999999,124.70299999999999,124.70299999999999,127.162,144.944,162.33100000000002,193.638,184.868,186.31799999999998,187.77200000000002,170.637,148.882,144.944,143.641,138.48,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
28,34060000,2,1966-01-10,,1,1,210.16299999999998,134.662,166.483,22,3,2,2,2,,0,135.93,135.93,134.662,135.93,137.202,147.564,165.08,162.33100000000002,159.602,158.245,158.245,163.703,166.46200000000002,163.703,160.964,159.602,158.245,158.245,160.964,192.165,207.11599999999999,210.16299999999998,207.11599999999999,204.08700000000002,201.078,193.638,179.11700000000002,165.08,160.964,159.602,158.245,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
